Ativo;Data;time;open;high;low;close;Volume;Quantidade
WDOFUT;14/01/2022;18:29:00;5.553,500;5.555,500;5.553,000;5.553,500;64.209.120,00;1.156
WDOFUT;14/01/2022;18:28:00;5.554,000;5.554,500;5.553,000;5.553,500;26.548.710,00;478
WDOFUT;14/01/2022;18:27:00;5.553,500;5.554,500;5.553,000;5.554,000;31.491.995,00;567
WDOFUT;14/01/2022;18:26:00;5.553,500;5.554,000;5.552,500;5.553,000;43.036.525,00;775
WDOFUT;14/01/2022;18:25:00;5.553,000;5.554,500;5.551,000;5.553,000;113.672.290,00;2.047
WDOFUT;14/01/2022;18:24:00;5.552,500;5.553,500;5.552,500;5.552,500;19.657.490,00;354
WDOFUT;14/01/2022;18:23:00;5.553,000;5.554,500;5.552,000;5.553,000;36.874.330,00;664
WDOFUT;14/01/2022;18:22:00;5.553,500;5.554,500;5.552,500;5.553,500;51.259.980,00;923
WDOFUT;14/01/2022;18:21:00;5.554,000;5.554,500;5.552,500;5.554,000;35.875.950,00;646
WDOFUT;14/01/2022;18:20:00;5.553,000;5.554,500;5.552,500;5.554,500;78.083.335,00;1.406
WDOFUT;14/01/2022;18:19:00;5.552,500;5.553,500;5.551,500;5.553,500;82.230.370,00;1.481
WDOFUT;14/01/2022;18:18:00;5.551,500;5.553,500;5.551,500;5.553,000;46.423.350,00;836
WDOFUT;14/01/2022;18:17:00;5.552,500;5.553,000;5.551,500;5.552,500;19.210.355,00;346
WDOFUT;14/01/2022;18:16:00;5.552,500;5.553,000;5.551,500;5.552,500;45.861.435,00;826
WDOFUT;14/01/2022;18:15:00;5.552,500;5.553,000;5.550,000;5.552,000;98.198.640,00;1.769
WDOFUT;14/01/2022;18:14:00;5.552,500;5.552,500;5.551,500;5.552,000;24.372.960,00;439
WDOFUT;14/01/2022;18:13:00;5.551,500;5.553,000;5.551,500;5.552,500;47.471.485,00;855
WDOFUT;14/01/2022;18:12:00;5.553,000;5.553,500;5.550,500;5.551,500;90.826.860,00;1.636
WDOFUT;14/01/2022;18:11:00;5.553,000;5.554,000;5.552,500;5.552,500;38.817.625,00;699
WDOFUT;14/01/2022;18:10:00;5.552,500;5.554,500;5.551,500;5.553,500;114.896.325,00;2.069
WDOFUT;14/01/2022;18:09:00;5.551,500;5.553,000;5.550,500;5.552,500;134.576.780,00;2.424
WDOFUT;14/01/2022;18:08:00;5.550,500;5.551,500;5.550,000;5.551,000;32.859.240,00;592
WDOFUT;14/01/2022;18:07:00;5.549,500;5.552,000;5.549,000;5.550,000;81.927.710,00;1.476
WDOFUT;14/01/2022;18:06:00;5.548,500;5.549,500;5.548,500;5.549,000;29.356.055,00;529
WDOFUT;14/01/2022;18:05:00;5.548,500;5.549,000;5.548,000;5.549,000;32.903.600,00;593
WDOFUT;14/01/2022;18:04:00;5.548,500;5.549,500;5.548,000;5.549,000;34.902.470,00;629
WDOFUT;14/01/2022;18:03:00;5.547,000;5.549,500;5.547,000;5.549,000;85.725.695,00;1.545
WDOFUT;14/01/2022;18:02:00;5.546,500;5.547,500;5.546,000;5.547,500;15.199.160,00;274
WDOFUT;14/01/2022;18:01:00;5.546,000;5.549,500;5.545,500;5.547,000;206.583.260,00;3.724
WDOFUT;14/01/2022;18:00:00;5.546,500;5.547,500;5.545,500;5.546,000;71.442.075,00;1.288
WDOFUT;14/01/2022;17:59:00;5.551,000;5.551,500;5.546,000;5.547,000;255.221.845,00;4.600
WDOFUT;14/01/2022;17:58:00;5.551,500;5.552,000;5.550,500;5.550,500;177.407.965,00;3.196
WDOFUT;14/01/2022;17:57:00;5.553,500;5.555,000;5.551,000;5.551,500;373.865.860,00;6.733
WDOFUT;14/01/2022;17:56:00;5.553,500;5.555,000;5.553,000;5.553,500;163.232.370,00;2.939
WDOFUT;14/01/2022;17:55:00;5.549,500;5.554,000;5.549,000;5.554,000;327.799.175,00;5.904
WDOFUT;14/01/2022;17:54:00;5.548,500;5.550,000;5.548,000;5.549,000;187.346.975,00;3.376
WDOFUT;14/01/2022;17:53:00;5.550,000;5.550,000;5.547,500;5.548,000;157.189.760,00;2.833
