Ativo;Data;time;open;high;low;close;Volume;Quantidade
WDOFUT;19/01/2022;18:25:00;5454.500;5455.500;5451.500;5454.000;464008600.00;8509
WDOFUT;19/01/2022;18:20:00;5452.500;5455.500;5451.500;5455.000;499839805.00;9166
WDOFUT;19/01/2022;18:15:00;5459.000;5459.500;5451.500;5453.000;1020440940.00;18707
WDOFUT;19/01/2022;18:10:00;5457.500;5460.000;5456.500;5459.500;613438735.00;11238
WDOFUT;19/01/2022;18:05:00;5460.500;5462.500;5453.500;5458.000;1126148445.00;20635
WDOFUT;19/01/2022;18:00:00;5460.500;5462.000;5458.500;5461.000;710492710.00;13012
WDOFUT;19/01/2022;17:55:00;5464.000;5465.500;5460.000;5460.500;1319107820.00;24149
WDOFUT;19/01/2022;17:50:00;5469.500;5470.000;5458.000;5464.500;2369009645.00;43360
WDOFUT;19/01/2022;17:45:00;5471.000;5472.000;5468.000;5469.000;793041545.00;14498
WDOFUT;19/01/2022;17:40:00;5473.000;5474.000;5470.500;5471.500;516441045.00;9438
WDOFUT;19/01/2022;17:35:00;5474.000;5475.500;5471.500;5473.000;436819145.00;7981
WDOFUT;19/01/2022;17:30:00;5474.000;5477.000;5473.000;5474.500;902165030.00;16478
WDOFUT;19/01/2022;17:25:00;5472.000;5474.000;5471.000;5474.000;712726715.00;13024
WDOFUT;19/01/2022;17:20:00;5472.000;5472.500;5467.500;5472.000;1371526885.00;25072
WDOFUT;19/01/2022;17:15:00;5474.500;5476.500;5471.000;5472.000;1740474345.00;31799
WDOFUT;19/01/2022;17:10:00;5479.000;5479.500;5474.000;5475.000;850930605.00;15539
WDOFUT;19/01/2022;17:05:00;5479.000;5480.500;5477.500;5479.500;476020235.00;8688
WDOFUT;19/01/2022;17:00:00;5481.000;5481.500;5479.000;5479.000;278976895.00;5091
WDOFUT;19/01/2022;16:55:00;5481.000;5482.000;5479.500;5481.500;557284865.00;10168
WDOFUT;19/01/2022;16:50:00;5482.000;5483.000;5480.500;5480.500;391831430.00;7148
WDOFUT;19/01/2022;16:45:00;5479.500;5483.500;5479.500;5482.000;558294895.00;10184
WDOFUT;19/01/2022;16:40:00;5481.500;5482.500;5479.000;5480.000;486048010.00;8868
WDOFUT;19/01/2022;16:35:00;5480.500;5481.500;5479.500;5481.000;426844115.00;7788
WDOFUT;19/01/2022;16:30:00;5481.000;5481.500;5478.000;5480.500;413933750.00;7554
WDOFUT;19/01/2022;16:25:00;5479.000;5481.000;5478.000;5480.500;382254145.00;6976
WDOFUT;19/01/2022;16:20:00;5479.000;5481.000;5478.500;5479.000;438608750.00;8004
WDOFUT;19/01/2022;16:15:00;5480.500;5481.000;5477.000;5478.500;565338515.00;10318
WDOFUT;19/01/2022;16:10:00;5480.500;5482.000;5479.500;5481.000;516663535.00;9427
WDOFUT;19/01/2022;16:05:00;5476.500;5480.500;5475.000;5480.500;892461610.00;16291
WDOFUT;19/01/2022;16:00:00;5478.000;5480.000;5476.000;5476.000;1051340230.00;19192
WDOFUT;19/01/2022;15:55:00;5483.500;5485.000;5477.000;5478.000;1758962410.00;32087
