Ativo;Data;time;open;high;low;close;Volume;Quantidade
WINFUT;19/01/2022;18:20:00;108840;108850;108650;108850;738958345.85;33956
WINFUT;19/01/2022;18:15:00;108750;108865;108735;108835;1378208277.14;63340
WINFUT;19/01/2022;18:10:00;108790;108810;108675;108750;1389950775.38;63918
WINFUT;19/01/2022;18:05:00;108685;108825;108685;108790;1853488432.18;85212
WINFUT;19/01/2022;18:00:00;108695;108770;108650;108685;2112881052.90;97191
WINFUT;19/01/2022;17:55:00;108745;108750;108650;108700;2835153367.60;130428
WINFUT;19/01/2022;17:50:00;108870;108870;108725;108750;3359354183.32;154391
WINFUT;19/01/2022;17:45:00;108920;108940;108865;108875;1883984964.50;86500
WINFUT;19/01/2022;17:40:00;108860;108940;108850;108915;1696876531.83;77910
WINFUT;19/01/2022;17:35:00;108835;108925;108815;108860;1976470666.89;90763
WINFUT;19/01/2022;17:30:00;108860;108885;108760;108840;2970299722.53;136468
WINFUT;19/01/2022;17:25:00;108950;109000;108860;108865;2502027640.68;114841
WINFUT;19/01/2022;17:20:00;108930;108980;108920;108955;1772506940.98;81342
WINFUT;19/01/2022;17:15:00;108985;109015;108900;108935;2743468927.24;125896
WINFUT;19/01/2022;17:10:00;108925;109020;108900;108990;2662994795.06;122194
WINFUT;19/01/2022;17:05:00;108870;108960;108860;108930;2804580127.12;128755
WINFUT;19/01/2022;17:00:00;108815;108880;108800;108870;2138212687.38;98230
WINFUT;19/01/2022;16:55:00;108880;108940;108790;108815;4324079743.47;198611
WINFUT;19/01/2022;16:50:00;108795;108900;108740;108880;2836998051.59;130369
WINFUT;19/01/2022;16:45:00;108845;108850;108695;108795;3572865653.37;164234
WINFUT;19/01/2022;16:40:00;108785;108875;108770;108845;2495694416.57;114677
WINFUT;19/01/2022;16:35:00;108840;108875;108775;108780;3184520049.68;146313
WINFUT;19/01/2022;16:30:00;108710;108855;108690;108835;3832388135.11;176138
WINFUT;19/01/2022;16:25:00;108800;108825;108700;108705;3261262467.76;149909
WINFUT;19/01/2022;16:20:00;108910;108920;108790;108800;3240933467.44;148902
WINFUT;19/01/2022;16:15:00;108880;108940;108850;108910;2599397318.00;119352
WINFUT;19/01/2022;16:10:00;108905;108975;108825;108875;3386648763.54;155497
WINFUT;19/01/2022;16:05:00;109020;109035;108835;108905;4288025818.74;196858
WINFUT;19/01/2022;16:00:00;109025;109070;109000;109020;2482174399.37;113826
WINFUT;19/01/2022;15:55:00;109005;109100;108995;109030;3877087118.25;177764
WINFUT;19/01/2022;15:50:00;108970;109015;108865;109005;3508504165.35;161029
